Pose_Cam_X,Pose_Cam_Y,Pose_Cam_Z,Pose_Cam_Ori_X,Pose_Cam_Ori_Y,Pose_Cam_Ori_Z,Pose_Cam_Ori_W,BBox_Cam_Extent_X,BBox_Cam_Extent_Y,BBox_Cam_Extent_Z,BBox_Cam_Center_X,BBox_Cam_Center_Y,BBox_Cam_Center_Z,BBox_Cam_R00,BBox_Cam_R01,BBox_Cam_R02,BBox_Cam_R10,BBox_Cam_R11,BBox_Cam_R12,BBox_Cam_R20,BBox_Cam_R21,BBox_Cam_R22
0.191192,0.120242,0.480546,0.912837,0.0383235,-0.00626196,0.406474,0.391753,0.21372,0.0118648,0.191192,0.120243,0.480546,0.996985,0.0750561,0.0197224,0.0648763,-0.666621,-0.74257,-0.0425877,0.74161,-0.669481
-0.183716,0.0454998,0.563038,0.687099,-0.597631,0.278229,0.305483,0.394546,0.202562,0.0139785,-0.183716,0.0454997,0.563038,0.13085,-0.991254,0.0172087,-0.651276,-0.0990339,-0.752353,0.747476,0.0872381,-0.658538
0.189023,-0.0276381,0.647378,0.0154975,0.90726,-0.420269,0.00356401,0.387075,0.211832,0.00868167,0.189023,-0.027638,0.647378,-0.999495,0.031117,-0.00655965,0.0251241,0.646268,-0.762698,-0.0194929,-0.762477,-0.646724
0.181442,-0.16022,0.804863,-0.00565604,0.914599,-0.404281,-0.00580916,0.390778,0.195233,0.0147997,0.181442,-0.16022,0.804863,-0.999869,-0.0150423,-0.00605317,-0.00564973,0.67305,-0.739577,0.0151997,-0.739445,-0.673047
-0.218648,-0.156785,0.797657,0.0145329,0.908762,-0.416958,0.00926049,0.38514,0.208643,0.00932667,-0.218649,-0.156785,0.797657,-0.999407,0.0341372,0.00471159,0.0186907,0.65187,-0.758101,-0.0289501,-0.757563,-0.652122
0.176067,-0.291393,0.954137,0.00256925,0.911572,-0.411131,0.00115895,0.385875,0.188067,0.0112435,0.176067,-0.291393,0.954138,-0.999985,0.00563784,-5.45744e-15,0.00373038,0.661929,-0.749558,-0.00422519,-0.749546,-0.661941
-0.222057,-0.291848,0.954061,0.0249908,0.911306,-0.410709,0.0146728,0.385259,0.205263,0.00838019,-0.222058,-0.291849,0.954062,-0.998321,0.0576019,0.00621459,0.0334953,0.661388,-0.749297,-0.0472704,-0.74783,-0.662207
0.269995,-0.471995,1.15723,0.650756,0.641954,-0.276154,0.296902,0.331788,0.192834,0.0126687,0.269994,-0.471995,1.15724,0.0232693,0.999493,0.0217769,0.67153,0.000512003,-0.740978,-0.740613,0.0318652,-0.671178
0.0681178,-0.48292,1.16678,-0.630502,0.655281,-0.293518,-0.294825,0.341206,0.198941,0.0119661,0.0681172,-0.48292,1.16678,-0.031093,-0.999385,-0.016259,-0.653239,0.0326288,-0.75645,0.756515,-0.0128986,-0.653852
-0.227664,-0.550718,1.24709,0.898635,-0.0366978,0.023659,0.436519,0.380015,0.205215,0.0121257,-0.227665,-0.550718,1.24709,0.996188,-0.0866119,0.0104827,-0.0452999,-0.61621,-0.78628,0.07456,0.782807,-0.617784
