Pose_Cam_X,Pose_Cam_Y,Pose_Cam_Z,Pose_Cam_Ori_X,Pose_Cam_Ori_Y,Pose_Cam_Ori_Z,Pose_Cam_Ori_W,BBox_Cam_Extent_X,BBox_Cam_Extent_Y,BBox_Cam_Extent_Z,BBox_Cam_Center_X,BBox_Cam_Center_Y,BBox_Cam_Center_Z,BBox_Cam_R00,BBox_Cam_R01,BBox_Cam_R02,BBox_Cam_R10,BBox_Cam_R11,BBox_Cam_R12,BBox_Cam_R20,BBox_Cam_R21,BBox_Cam_R22
-0.324761,0.0735157,0.58435,0.647535,-0.647535,0.284075,0.284075,0.392575,0.20844,0.0158626,-0.324761,0.0735156,0.58435,6.22413e-15,-1,1.20277e-13,-0.677207,-1.0094e-06,-0.735794,0.735794,4.34199e-07,-0.677207
0.158897,-0.140172,0.827565,0.917922,-0.0184052,0.00775981,0.396257,0.378165,0.202492,0.00737995,0.158897,-0.140172,0.827565,0.999203,-0.0399394,-0.000340788,-0.0276388,-0.685284,-0.727752,0.028832,0.727181,-0.685841
-0.233069,-0.131028,0.815108,0.915665,0.00107889,0.00506584,0.40191,0.384205,0.209495,0.00817033,-0.23307,-0.131028,0.815108,0.999947,-0.00209672,0.0101442,0.00604834,-0.676935,-0.736019,0.00840978,0.736041,-0.676887
0.151956,-0.276606,0.973096,0.917943,0.012953,-0.0057779,0.396458,0.384189,0.178848,0.00643816,0.151956,-0.276606,0.973096,0.999598,0.0283611,-0.000337153,0.0191993,-0.685307,-0.728002,-0.0208784,0.727703,-0.685576
-0.243226,-0.258463,0.954215,-0.0572567,0.910659,-0.408686,-0.01996,0.402245,0.226624,0.00763761,-0.243226,-0.258463,0.954215,-0.992647,-0.120597,0.0104463,-0.0879684,0.659395,-0.746633,0.0831538,-0.742062,-0.665156
-0.246963,-0.39788,1.10257,0.921536,0.0254819,-0.0119577,0.387271,0.385936,0.208238,0.00514091,-0.246964,-0.397881,1.10257,0.998416,0.0562263,-0.00230225,0.0377039,-0.698745,-0.714378,-0.0417759,0.713159,-0.699758
0.242473,-0.464751,1.16759,0.666168,0.641636,-0.277283,0.260072,0.336074,0.190481,0.0101572,0.242473,-0.464751,1.16759,0.0228348,0.999103,-0.0356919,0.710648,-0.0413313,-0.702334,-0.703178,-0.00932717,-0.710954
0.0477191,-0.462862,1.16588,0.641862,0.663419,-0.277139,0.266613,0.323809,0.202553,0.00646401,0.0477187,-0.462862,1.16588,-0.0338605,0.999425,-0.0020176,0.703869,0.0224148,-0.709976,-0.709523,-0.0254607,-0.704224
