Pose_Cam_X,Pose_Cam_Y,Pose_Cam_Z,Pose_Cam_Ori_X,Pose_Cam_Ori_Y,Pose_Cam_Ori_Z,Pose_Cam_Ori_W,BBox_Cam_Extent_X,BBox_Cam_Extent_Y,BBox_Cam_Extent_Z,BBox_Cam_Center_X,BBox_Cam_Center_Y,BBox_Cam_Center_Z,BBox_Cam_R00,BBox_Cam_R01,BBox_Cam_R02,BBox_Cam_R10,BBox_Cam_R11,BBox_Cam_R12,BBox_Cam_R20,BBox_Cam_R21,BBox_Cam_R22
0.174127,0.0764814,0.560806,0.00986329,0.915248,-0.402139,0.0225188,0.394552,0.226696,0.0104977,0.174127,0.0764815,0.560806,-0.998792,0.036167,0.0332875,-5.74677e-05,0.676374,-0.73656,-0.0491532,-0.735671,-0.675555
0.173011,-0.073104,0.719124,0.0127514,0.916457,-0.399181,0.0244562,0.385438,0.216664,0.00897798,0.173011,-0.0731039,0.719124,-0.99848,0.0428979,0.0346455,0.0038466,0.680985,-0.732289,-0.055006,-0.731041,-0.680115
-0.219436,-0.149933,0.799744,0.918402,-0.00628403,-0.00195649,0.395595,0.384417,0.227321,0.0103875,-0.219436,-0.149933,0.799745,0.999914,-0.00999536,-0.00856586,-0.0130897,-0.686931,-0.726606,0.00137783,0.726655,-0.687003
0.169943,-0.220387,0.884079,0.0153733,0.915836,-0.400852,0.0180343,0.38673,0.21121,0.0116863,0.169943,-0.220387,0.884079,-0.998878,0.0426178,0.0207077,0.0136999,0.678163,-0.734785,-0.0453574,-0.733676,-0.677987
-0.220208,-0.301518,0.96474,0.912742,0.012364,-0.0169351,0.407999,0.387623,0.221024,0.0124371,-0.220208,-0.301519,0.964741,0.999122,0.0363886,-0.0208261,0.00875209,-0.666769,-0.745214,-0.0410042,0.744377,-0.666502
0.169286,-0.360764,1.03429,0.919541,0.0067259,0.00520274,0.392902,0.372694,0.197378,0.0119257,0.169286,-0.360764,1.03429,0.999856,0.00828038,0.0148532,0.0164586,-0.691166,-0.72251,0.00428268,0.72265,-0.691203
-0.222047,-0.368834,1.04366,-0.0195848,0.913264,-0.406279,-0.0224404,0.390137,0.207841,0.00881779,-0.222048,-0.368834,1.04366,-0.998227,-0.0540055,-0.0250745,-0.0175388,0.669108,-0.742959,0.0569021,-0.741201,-0.668869
0.164507,-0.505849,1.1911,-0.0360297,0.906065,-0.421473,-0.0104266,0.380446,0.20981,0.0127928,0.164506,-0.505849,1.1911,-0.997187,-0.0740788,0.0114764,-0.0565022,0.642124,-0.764517,0.0492658,-0.763014,-0.644504
-0.213811,-0.52767,1.21878,-0.035647,0.899131,-0.435507,-0.0250231,0.392185,0.230686,0.0172069,-0.213811,-0.52767,1.21878,-0.996207,-0.0858975,-0.0139495,-0.0423079,0.618126,-0.784941,0.0760477,-0.781373,-0.619416
