iter,E_line,E_pose,E_plane,E_centroids,E_total,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
25,998545647.0237658,nan,0.0392253825585091,0.0,nan,1.000000007489397,-1.0001,-24798.745117187507,1.0001,0.9999999924797054,-34364.85058593751,-0.9999999925457814,1.0001,-39085.8134765625,1.0001,-0.9999999925342191,-25894.15234375,0.9999999999781721,0.000976562501222662,0.0009765625048606408,0.000976562497584683,-0.75,-0.75,0.5431733545151199,1.0001,1.0001,-0.999999984887836,0.0
50,0.03783128528148411,0.005077935490711623,0.003923188242897929,0.0,0.011397655999303381,1.0000000000002702,-3.609935683697073e-05,0.10483466808191733,3.609935683703196e-05,0.9999999999997286,-0.2404610572020578,-0.9999999999997309,3.60993568370932e-05,-0.41086774053649266,3.609935683678705e-05,-0.9999999999997305,0.06529512568268137,0.9999999999999992,3.5249753229918556e-08,3.5249753361234107e-08,3.524975309860298e-08,0.1405980839081818,0.08433018467569924,0.5431733694162811,3.609935683697073e-05,3.609935683697073e-05,-0.9999999999994545,0.5431537482669958
75,0.03938379804773627,0.004465042225336494,0.003957972412564913,0.0,0.011347379427262131,1.0000000636510016,0.001727569283152093,0.09926276705202526,-0.0017275693513305224,1.000000063676744,-0.24438059994515743,-1.000000063676745,-0.0017275692848761283,-0.4163084007501086,0.001799640741260346,-0.9999999363250142,0.059471804219984985,1.0000000000033284,5.587217388878838e-05,-0.00018835693935925814,6.974538193881008e-05,0.13902757767929616,0.08285890289310399,0.5422155070210493,0.0017996406917165284,0.0017996407609839429,-0.9999998726500228,0.5474862212252529
100,0.039716636301184986,0.004344348418747069,0.003961326295418908,0.0,0.011342201570569019,0.9999997348116891,0.001917745227300085,0.0944332873212389,-0.0019177452954655275,0.9999997348402734,-0.24438001692216343,-0.9999997348402562,-0.001917745229023792,-0.4135070145472501,0.0019898029568064957,-0.9999995938031173,0.056953850701029714,0.9999999591956656,0.0001671729026783206,-0.000510142727229831,-0.00030344730102300766,0.13914395935580118,0.08270025495439236,0.5426836804922748,0.0019898029072721152,0.00160879293625967,-0.9999998732911913,0.5479533906993534
125,0.03986497574865271,0.0042655851968354756,0.0039658395457747245,0.0,0.01132551417698677,0.999997650735247,0.0030035780669666725,0.09431352896936894,-0.0030035781350579637,0.9999976507801841,-0.25206780152225733,-0.9999976507799804,-0.003003578068688504,-0.41277562741967616,0.003075557411339831,-0.9999974316435464,0.05965539762251324,0.9999964312627501,0.0014231257740997933,-0.0038043616834936723,-0.0056992564491492375,0.13980845471908582,0.08179443512228754,0.5453567742528703,0.0030755573618593346,0.0005191239391129892,-0.9999994624761379,0.548974177432648
150,0.04098246161645333,0.0038097306470069193,0.0039877864796222726,0.0,0.01127988800741927,0.999988452437334,0.006063804051208667,0.09421197367197201,-0.006063804119090977,0.9999884525055794,-0.24619697128437604,-0.9999884525274564,-0.0060638040529252145,-0.42267786036147004,0.006135562481079343,-0.9999880137259741,0.04971194427292985,0.9998896812947445,0.005154112130662138,-0.0124980284982383,-0.017683629630132782,0.14168121624286903,0.07924154372852066,0.5528904117389143,0.006135562431750709,-0.002551913616538376,-0.9999916322348233,0.5516629545948087
175,0.04140385567210517,0.003635957330393933,0.003999270251922321,0.0,0.011262199583041858,0.9999813010553245,0.007241808444892198,0.09298468592566855,-0.007241808512694063,0.9999813011411037,-0.2464263084491391,-0.9999813011628066,-0.007241808446606711,-0.42538134726874904,0.00731348183586186,-0.9999807783244272,0.04901423240717352,1.0002535055143542,0.003204349978249756,-0.005025742429018973,-0.002951986789775667,0.14240211775618017,0.07825883285147385,0.5557904126227303,0.007313481786591683,-0.0037340798497381656,-0.9999813719102749,0.5526296342735825
200,0.04060845630620301,0.003952258024940954,0.004017513225643283,0.0,0.01129654872133383,0.9999741033000771,0.008234666636447306,0.10188697387792314,-0.00823466670418137,0.9999741034013567,-0.2532586893077156,-0.9999741034224049,-0.008234666638160104,-0.4176519885478282,0.008306268354025998,-0.999973509927428,0.036591139727777174,1.0003050540990075,-0.002234541874040672,0.000637281772365373,-0.0009369626612209738,0.141509715638424,0.07893057398077258,0.5569674264303156,0.008306268304805091,-0.0027302457704117826,-0.9999778444050709,0.5529357222162857
225,1.0766715427185884,117.94045336858072,0.19931252947365832,0.0,71.01946883558688,0.9926068876843808,1.0000998731799362,-1.5001471210272306,-1.000099924024281,0.9926068947033124,-1.118710468475624,-0.9926069022458913,-1.000099889487603,0.6347731222543971,1.000099933915614,-0.992535741731449,1.2871682612255204,1.0164950481710766,-4.9867698789593815,2.7545690923198136,-2.192770564391668,-0.75,0.75,1.0547439937435603,1.0000998790893976,1.0001,-0.9960966718809053,0.6229521633189197
250,0.04108969844328228,0.0036212080267961346,0.004144503466446028,0.0,0.011219565198023342,0.9999062798521474,0.01734654802492121,0.0786328537641828,-0.017346548600476477,0.9999062800100085,-0.25636139257299656,-0.9999062801068039,-0.017346548189694944,-0.41340841278779744,0.01741749257260946,-0.9999050383553411,0.05919159211288961,1.0004250670040056,-0.047660393548768554,0.023574974079253998,-0.024492654742174897,0.13331976117289665,0.08509542891543334,0.560988781374892,0.017417491975578566,0.006482367290132639,-0.9999418841374146,0.5533871675465363
275,0.04081701463428971,0.003485596403831343,0.004355707718418422,0.0,0.01112590231284043,0.9997018315320408,0.029092447866084406,0.08354027758740726,-0.029092448434760616,0.9997018319790423,-0.2692154641631795,-0.9997018320537678,-0.029092448028888756,-0.4205746911116927,0.029162544482330896,-0.9996997713845804,0.06995765106312021,0.9985040960221649,-0.10511288197742949,-0.008642686863856358,-0.0211262624245319,0.1406903425783654,0.09304238777603233,0.5648226056060582,0.02916255879359693,0.01835811615752989,-0.9996589603603,0.5546707919569561
300,0.04020497457509212,0.0033616006814625185,0.004667756728913502,0.0,0.010991506669678635,0.99920715284324,0.046016132301075915,0.06105672251723182,-0.046016133401963706,0.9992071535226188,-0.28573552127330093,-0.9992071535966942,-0.046016132600690804,-0.3978819785568846,0.04608500790611791,-0.9992039409765667,0.08733447950900997,1.0034558620319822,-0.055448115796379906,-0.04366874718993842,-0.016324498698642203,0.12516650442529512,0.10449251407737982,0.5710877716009917,0.046085006583927335,0.03546889089296244,-0.9988466542762954,0.5551256745064217
325,0.032494340268601214,0.004582755296905889,0.005575454285656102,0.0,0.010363612088994997,0.9975105164226308,0.08263525761133186,0.09420878476949021,-0.08263525866996597,0.997510518359506,-0.26660485141643475,-0.9975105178529058,-0.08263525789944709,-0.3937616565677814,0.08270148967056279,-0.9975048990317843,0.10235421634017841,1.0093351433878963,0.081780261799373,-0.0774924763256224,-0.016252983354555325,0.14914852198909673,0.1001712896072738,0.5700477885487781,0.08270148839911981,0.07249283465563887,-0.9958218328438848,0.5562110352180318
350,0.030222548757443957,0.0050586472301522144,0.005155677626190341,0.0,0.010110833614818186,0.9950793186573301,0.11162799702819,0.07942083110548123,-0.11162799859874208,0.9950793207043708,-0.23803235507144319,-0.9950793202188201,-0.11162799735332206,-0.3712369952929988,0.11169213671630204,-0.995071939914498,0.08006152502472214,1.0115594110876813,0.015278090134134933,-0.11110374411997792,-0.02165555605994225,0.138271173168449,0.07330508432811249,0.5671153384020878,0.11169213511654147,0.03859790049314712,-0.9958220594289776,0.551950773931627
375,0.029784034000661385,0.002943917935504494,0.005030987915033814,0.0,0.008729355144441736,0.9849796076075044,0.20047515370072277,0.06164071390393392,-0.20047516703192125,0.9849796087025287,-0.2649407220351283,-0.9849796090132283,-0.20047515857180165,-0.3833885433747889,0.20053289002245442,-0.9849671642695914,0.07808987462383085,1.009887042945287,-0.057817502147839026,-0.10851542364338798,-0.08081380479128764,0.14905049992581101,0.06475851276756675,0.5761483328568748,0.20053288416851855,-0.06527186110512884,-0.9896010852664366,0.5494604620870518
400,0.028464618313901586,0.002648290262513355,0.003191717263027114,0.0,0.007920241272893752,0.9681779906203665,0.2804376383306505,0.040622364235955874,-0.28043765032872914,0.9681779930968354,-0.28891685786879406,-0.9681779926272192,-0.28043764271462146,-0.3840350187245018,0.280489601020209,-0.9681618927935214,0.08328898582149039,1.0070964985250215,-0.07028607182077812,-0.07697029776700295,-0.12343392003423145,0.14902662711202166,0.05885504890989768,0.5560859971196608,0.15899366984232358,-0.15875467499461596,-0.9906509767273595,0.5417989183853016
425,0.02855804167838268,0.002095091457723029,0.0034170625405215488,0.0,0.007652075718414662,0.9622370449804662,0.30016538310322316,0.03771214543887883,-0.3001653956969257,0.9622370473187891,-0.31832351501541456,-0.9622370471193877,-0.3001653876115451,-0.39223894368113976,0.30021593840347177,-0.9622202302437367,0.09998134728630614,1.0050808965142277,-0.05599325274305196,-0.055345776343889416,-0.15702253448987652,0.15681126143799895,0.07339796992257132,0.5738559348586648,0.18205050566683734,-0.1312951453968431,-0.9909099982080259,0.5374531135235214
450,0.02595885911995382,0.0014908539638729664,0.0033302885604955495,0.0,0.006752341914413653,0.939571552500286,0.37015881942481343,0.030235454892451497,-0.37015883413756806,0.9395715535508934,-0.35035004373226725,-0.9395715549806836,-0.37015882405147404,-0.3910507250988257,0.3702043106694399,-0.9395523452394787,0.124785415375925,0.9957520163652818,-0.06354858309478612,-0.09623320816391892,-0.18656085281206203,0.16591923620230684,0.08486007827799069,0.574822238657799,0.2638554409154036,-0.21817562776278715,-0.9627401476408762,0.5255160136954034
475,0.020575668080956747,0.0020859806748628803,0.0030485321741893947,0.0,0.005976428455946956,0.8958834108456655,0.4765330153752437,0.004251563697129569,-0.47653302760354815,0.8958834122313896,-0.3817028812351532,-0.895883413793557,-0.4765330043194681,-0.3620330148312332,0.4765708248001715,-0.8958614036437998,0.16659544942934085,0.9848466433866021,-0.01710877444138372,-0.18066804379680096,-0.19909872645580778,0.1614565878483899,0.09692447298182325,0.5528456064189828,0.282204388565524,-0.15108455137521037,-0.9690488703884507,0.5070676103617244
500,0.016414384912625864,0.0015622059232804437,0.003259379070084885,0.0,0.004872076350510415,0.8214198957347459,0.6086627374154606,-0.05565905912624562,-0.608662750493136,0.8214198957763402,-0.4088182926552207,-0.8214198811716684,-0.6086627456014571,-0.32608946320710414,0.6086910094343109,-0.8213960328986045,0.1701283692631084,0.9587608628289624,-0.004309155953059824,-0.21495533676782103,-0.2711861334513384,0.1556438683828098,0.08701779328463108,0.5476875204480527,0.38705422751228197,-0.09575419403326689,-0.941734654633047,0.47085220557662044
525,0.015066933073090668,0.0012734686268762586,0.0028219033057048423,0.0,0.004341848451884857,0.7896634501659445,0.6478064633683138,-0.08948472223912053,-0.6478064752762629,0.789663450744183,-0.4026342779714882,-0.8359984265948638,-0.5852751727811967,-0.30789898931907844,0.6478319084073487,-0.7896397028824512,0.15879045309478834,0.9485733022782473,-0.05471764492005317,-0.2368934264025806,-0.2818248552442043,0.14289163307921024,0.07547773489305448,0.5505424395542167,0.42336276795939115,-0.18618877455298788,-0.9151825214738142,0.4628530802888933
550,0.013936726880173732,0.0010713731325943938,0.002840995011178744,0.0,0.003998368257827132,0.7399456331023032,0.7031690313098926,-0.12778182934806565,-0.7031690413465197,0.7399456490202412,-0.3935318763754285,-0.7864650384316224,-0.650464468895756,-0.28971929640267124,0.7031904776733395,-0.7399223384852679,0.13922621726111523,0.942670902470862,-0.00697622469739087,-0.2120660948161118,-0.3211432508788624,0.13584393103400225,0.05952252591293858,0.542344498303295,0.42839193172020923,-0.1148125297520514,-0.922958834449896,0.4430760205878912
575,0.012247766826268972,0.0009930681393530765,0.0023147140205775937,0.0,0.003508337052981159,0.6422814479466,0.7965560258217249,-0.1831138333387767,-0.7965560177942187,0.6422814476662646,-0.4189105664932809,-0.7471374990314502,-0.687950084852097,-0.266007882688604,0.6077044175647628,-0.821750144980699,0.13986291580918922,0.9328510392261106,-0.022798908483273733,-0.21843602676646479,-0.32740695502366884,0.1282930765353089,0.07280363620127298,0.5374006375658372,0.45170584963252297,-0.19392269095760128,-0.8940239370108084,0.426598836092183
600,0.011124505052644201,0.0008155025847844967,0.0018082042627582814,0.0,0.0030758434139511945,0.6133770386238381,0.8169104232329971,-0.18149129168367642,-0.7911926679581344,0.6452721488837078,-0.4149467939278884,-0.7162879643383435,-0.7191650763594083,-0.2638130864348434,0.6469439757829429,-0.7900191482058715,0.14390889719043376,0.9247252855767784,-0.050347791810503195,-0.23795306644005987,-0.3317037047363207,0.13855246962855264,0.07239228743655828,0.5400958024095981,0.4782362899020435,-0.2745404218390578,-0.8608439399159126,0.4145800992289421
625,0.009294086798477508,0.0007598857295016743,0.0017120338460597858,0.0,0.0026571555666084633,0.5427053389689345,0.8632306510678763,-0.209830927573682,-0.8440157175749007,0.5722038993049865,-0.4082528701209075,-0.7530917988446052,-0.6771876613372821,-0.2642639878927189,0.7362408808103602,-0.7100662422497143,0.1566435070213826,0.9040145170854016,-0.03749406804292864,-0.2896396789800202,-0.3450519675047356,0.13433628740006331,0.07555152840197132,0.5428353788612995,0.5184988757338201,-0.30024750481195434,-0.8236491553377097,0.4014413141102488
650,0.0072187288916895,0.0009404471882387141,0.0011991892350551958,0.0,0.0022478519382921674,0.5261689116469263,0.8632934936116545,-0.20532205118973135,-0.9141632608852678,0.4531124818140675,-0.4163821220059242,-0.6963289766704539,-0.7317747883104269,-0.2507711677602717,0.8548246914517205,-0.5724763747346152,0.16718597491833395,0.8751251476301233,-0.08758865870881226,-0.32016498432023643,-0.37560696682940864,0.1375697175699795,0.07434077627522068,0.525055216995034,0.5369335628924609,-0.3879390099437459,-0.769877594637061,0.3660512234581331
675,0.005876022887833002,0.001018872833224689,0.0012595884522604238,0.0,0.0020384459679534984,0.48929604074997834,0.8838420311170665,-0.20426119349564514,-0.927071084886999,0.42027429338376376,-0.40775301972226363,-0.6517777897759982,-0.7720776278581263,-0.23042621947782826,0.8594116520150592,-0.5579587109260332,0.18036978840429888,0.8575548564590406,-0.08228674237013657,-0.37349353142545477,-0.3689039096178535,0.14853602081623984,0.07957290380265325,0.5287615124801661,0.5562188082064136,-0.37915388961978336,-0.7577809753964764,0.35418521103202705
700,0.003357289427961813,0.001356685402842008,0.0011250006725327102,0.0,0.0017104692618041093,0.25825522859053085,1.0000999999868663,-0.32466145253853224,-0.979637327073118,0.26138215750052013,-0.3922554108542705,-0.677450421602988,-0.7368584663963983,-0.18906299304264668,1.0000999999882023,-0.29653728366803533,0.17216740870309655,0.8193122828246806,0.0033989565810112754,-0.42597015713437086,-0.3997161219660202,0.11150267772065918,0.07881562611813323,0.5143947755050138,0.6016075891077621,-0.42366759337603593,-0.6841341556881384,0.31158331108252507
725,0.009487702990787251,0.011207751157664859,0.006576222845571207,0.0,0.009937435861870608,1.0000999999264935,0.775089315163221,-0.033682259829800054,-1.000099999952325,0.13110945618930492,-0.41573206476441804,-0.5484682845970632,-0.8541527231897635,-0.11483060777989237,0.7474255116497325,-1.0001,0.20533486119283967,0.8587775483188244,-0.1770610653589344,-0.322952562722367,-0.41449550646658945,0.19041549108845238,0.08419008586525378,0.6061888876018391,0.35453675970371024,-0.9071688430907323,-0.5950626585954092,0.3855597152896524
750,0.0050709546742750975,0.005543301625563186,0.0004991605696632705,0.0,0.004440004024125585,0.47169564369160655,0.8949657273186595,-0.2234845616154826,-1.0000999999845548,0.12368242662211522,-0.3558068864790074,-0.7136624629576793,-0.7038289875483535,-0.24897030006764148,1.000099999991406,-0.18834144698847938,0.11151720647458777,0.8274443859248601,-0.22806746672910436,-0.3664989417461942,-0.41989600571879926,0.15161174679704129,0.056710160224591355,0.5615099009745521,0.503957392616913,-0.6136999626894559,-0.628419965138445,0.3223926692277055
775,0.003604814240901991,0.00046530540897358975,0.0007441124663481764,0.0,0.0011489685868341871,0.3718429730442879,0.9561349850432653,-0.275997101653627,-0.9862027228038825,0.21783554474676733,-0.38567636149486473,-0.6749675666178118,-0.7390930595564845,-0.19683359267896572,0.9785310635141169,-0.3311167021176681,0.16071646145828528,0.8245961254656358,-0.0665124112409047,-0.40317174175210496,-0.4057297851875643,0.12768395513168246,0.07406890079138176,0.5333254536251986,0.5575218509008448,-0.5096902375337392,-0.6634109371397474,0.3204435802014628
800,0.0030953531178349696,0.0003109144580596401,0.0005249992836160191,0.0,0.0009106191551259817,0.5553281347134293,0.8573431588362779,-0.1808124545431692,-1.0001,0.10890199492663302,-0.40162654056187397,-0.5638628935829862,-0.8393134115579006,-0.17188064158498384,0.9421552081950987,-0.3371998996603293,0.15955724649005884,0.8019645110717001,-0.17476088804409018,-0.39825586765022664,-0.42463553615300215,0.1536845090140423,0.07377298112709635,0.5408008851055258,0.5132370198429367,-0.6085676902715206,-0.6165749247648245,0.3071749729471517
825,0.002530014254480748,0.0002351239684725748,0.0006795521832998217,0.0,0.0007829876686396587,0.4828401022758712,0.8789696565350137,-0.2010512716224752,-1.0000999999991924,0.05353269725773318,-0.38226900068600606,-0.6265684642892678,-0.7838495920186309,-0.19332283735141503,0.9890746110961891,-0.20408756842605358,0.15319931913005833,0.7878950773500327,-0.14833918988313627,-0.4061717991442349,-0.4398069936412599,0.15010066531767471,0.0740215420263702,0.5423597787633246,0.5244186701965697,-0.5844632053375327,-0.6197612665139348,0.3005865500376899
850,0.0021783400330272723,0.000213087849860209,0.000499897679913276,0.0,0.000663500252504235,0.4171557552387917,0.9132788927956762,-0.22493660559063355,-1.0000999999995521,0.03793738603048758,-0.37820325420749257,-0.6332476998168526,-0.7760758323822359,-0.17974629846722343,0.9766245507507606,-0.23784460704824506,0.15992056931043686,0.7821039705718319,-0.17758678419464463,-0.415320156748973,-0.43113196154342154,0.1452779625053,0.07831344877382194,0.5463456496640021,0.5081540084045496,-0.622877103717963,-0.5969830396651286,0.301381065685349
875,0.002222747109804871,0.00012596306707199413,0.00047286847968164546,0.0,0.0006147009581404997,0.4496885352104084,0.8964303229149552,-0.2088760568936907,-1.000099999999753,0.02824554391145595,-0.3858418372061833,-0.5884870787762189,-0.811646059172928,-0.1621152357581191,0.9571959360683834,-0.30784609585378636,0.17060159761541344,0.7862255452887494,-0.19477446738594872,-0.4067798380098298,-0.42397565092903844,0.14729516624048902,0.07990535033361273,0.5459158442966339,0.4887199630684117,-0.6416810612385967,-0.5929344944786368,0.3019418544031032
900,0.002017101379266991,9.157116949990132e-05,0.0004281887675226568,0.0,0.0005440007310578703,0.4607341415745395,0.8896846867144963,-0.19761040269121802,-1.000099999999845,0.021676069968882147,-0.39024304930465525,-0.5443177887698811,-0.8425057871666167,-0.14532545765335542,0.967940415187426,-0.26779711287851543,0.1680069375034127,0.7781372990525394,-0.2032719688901149,-0.41325566866108243,-0.4282817998974334,0.14892471537643825,0.07729813639288055,0.5455829628861375,0.4643681361365879,-0.6824467792131838,-0.5682075296321464,0.29612873687819025
925,0.001873317954698088,7.335219000390039e-05,0.0003981411885027632,0.0,0.0004983031426425105,0.47018660533685414,0.8826457116497978,-0.1852196927957171,-1.0000999999987887,0.006224427994859899,-0.39546191107613043,-0.51559201321615,-0.857445770381977,-0.14003538721550854,0.9650959315529285,-0.261976737020637,0.16437902774121962,0.7651955294399908,-0.23835339879670847,-0.41234880208770985,-0.43482614080339554,0.15135713555374186,0.0760737915312526,0.5486804386577182,0.4304145851511054,-0.7141464947532606,-0.554159846172311,0.29588736266435295
950,0.0015238192000336492,0.00011787120956076152,0.0004214991989762234,0.0,0.0004597864055384314,0.4273619296368817,0.9053797948150867,-0.1934051432775464,-1.00009999999997,-0.012954290050027626,-0.390284178747987,-0.5014754785721185,-0.8653228701805816,-0.13728812863482187,0.98247510343736,-0.19787351509811818,0.15094768050036367,0.7572261715791659,-0.2396052891698891,-0.418047175157648,-0.44110240437400994,0.15001751730282145,0.07163656975211,0.552280313548102,0.41967957671917666,-0.7273246766145578,-0.5433900747686908,0.29104663503206774
975,0.001458240760601566,0.0001273128001309825,0.0004230852500570395,0.0,0.00045265288221031056,0.420709826916911,0.9083420515373936,-0.192381750737244,-0.9999452560573886,-0.022957592794216716,-0.3890763123950936,-0.4963064236721672,-0.8682977934849957,-0.1364902273614486,0.9848875977674246,-0.1843693231719796,0.14742513871752713,0.7558615725878435,-0.24201383157436687,-0.4178073521286316,-0.4423426962048796,0.1499568075782479,0.07056025122637877,0.5540428571719151,0.41084775345926083,-0.7348330466310395,-0.5401102871658174,0.29068022837602386
1000,0.0017034577775974968,5.2870614552272e-05,0.00035944873061336116,0.0,0.0004443036703735348,0.46354816445957925,0.8883863401524267,-0.17251332607492686,-0.9999607304515516,-0.021374157314767238,-0.39435347836763207,-0.4934557017994357,-0.8699121881767378,-0.1389852703737659,0.9708152254470505,-0.25845933127726617,0.15761271764561607,0.7661008850460055,-0.25396437677917505,-0.39754617580056206,-0.43743065726453156,0.15115737749685243,0.07272392755047606,0.5576789601855712,0.37003505697035216,-0.7500766065633486,-0.5503704201040495,0.3033128015570154
1025,0.0016421776267129494,5.486279052529712e-05,0.0003650196211993279,0.0,0.00043435712389763365,0.45347900405992314,0.8935337821030203,-0.17343399198855117,-0.9997222644390278,-0.03212269032232579,-0.39178867814312557,-0.4828691705773508,-0.8759108655537873,-0.13635654792447374,0.9721645830569722,-0.25256341834147106,0.15505639132141041,0.7630932232454392,-0.2586305628119668,-0.3982095343817764,-0.43934420214663655,0.1507265461422473,0.07132713381312153,0.5589622014542123,0.3612228960549141,-0.7575833264981415,-0.545962088314438,0.302370157857526
1050,0.0016824376193943814,2.9350170637201697e-05,0.00035988097537542895,0.0,0.00042607382133628307,0.42885474256755657,0.903766940049056,-0.17896558187514003,-0.9987570672154737,-0.05474509840105592,-0.37914465346839743,-0.42149371894857823,-0.9095273832915037,-0.11787498000042616,0.9552653427232897,-0.3000077996072002,0.1491641258555638,0.7490728280271151,-0.29297985496048085,-0.3953500665720561,-0.445162316384953,0.14724481908664094,0.0642951848782248,0.5615287604135816,0.32411723141811233,-0.7843648878635244,-0.5310702342095392,0.30237265945810177
1075,0.0014804827554896745,4.6618520681317425e-05,0.00040571070368886216,0.0,0.00040520980424449784,0.39309483081615887,0.9205773575573198,-0.19083139639129687,-0.997623616062272,-0.07353868825051879,-0.3741281221421168,-0.4107101339265167,-0.913441123870792,-0.11407353065986002,0.9733119251698903,-0.24084342106634216,0.14459787443361907,0.741312035135045,-0.28798165378968515,-0.4025454950723884,-0.45447932505795785,0.14516274468202256,0.06320536038072284,0.5610204525854666,0.3200379673207838,-0.7932046055577038,-0.519626388789509,0.2961328680662504
1100,0.0013492277137130714,6.0646415733748535e-05,0.0004189308698345204,0.0,0.0003900195661497674,0.40150839290584656,0.9159059017608692,-0.18985601728363435,-0.9970664068768244,-0.0766047757850792,-0.37766545704598814,-0.4309455888586762,-0.9026690482431634,-0.11910644267588409,0.9817635309908419,-0.19559876555685474,0.14519469602725257,0.7433092714785718,-0.27283686204457214,-0.40383634022765763,-0.458496157606893,0.1466021461022843,0.06758826286466336,0.5594827261948505,0.3349368923447189,-0.7827711894322353,-0.5248280039896313,0.29514530148688106
1125,0.0013164840516057441,7.040728252995908e-05,0.0004076566376851714,0.0,0.0003870725073761585,0.39467934123451887,0.9188490167684147,-0.18996403931780187,-0.9961025472813955,-0.08908671822848235,-0.37651980010271374,-0.4155658935470806,-0.9097204212852362,-0.1123657745650017,0.9850740357353633,-0.17356699602521586,0.14316612669335124,0.739984046826531,-0.2841881830310647,-0.39826838370762996,-0.4617624391521602,0.14623012710625433,0.06791106569580331,0.5583091553035534,0.312130282005899,-0.7997163602874312,-0.513768454122291,0.29527698817122594
1150,0.0012468382881796185,4.656928395140875e-05,0.0004168480704478978,0.0,0.00036067884209634845,0.381143967052089,0.9246328654646443,-0.19959652716377518,-0.9949159175464635,-0.10147510752891928,-0.37089950635489477,-0.40223431984984725,-0.9156530339419093,-0.10823930777999623,0.9842698074410526,-0.1767014942627955,0.1415939844507216,0.7349870914290717,-0.2874772280880883,-0.3989003862687189,-0.4670042315971929,0.1444946985060423,0.06749485179675122,0.5565900609522174,0.3104838023354759,-0.7988822480556893,-0.5151624132332898,0.29539308727606156
1175,0.0010454565997851056,2.969522291378684e-05,0.00042917645333006855,0.0,0.00031274374437130693,0.3418704328146086,0.9407046941584744,-0.22494882331292057,-0.9896827511503979,-0.1520207098763121,-0.3580946640971489,-0.3621386721948547,-0.933150253527377,-0.09565827352576521,0.9868857794689213,-0.16210026859366328,0.1364264948968135,0.7211788556549272,-0.2950553387970092,-0.39730666988711527,-0.48536432920611017,0.14097573854400544,0.06896763700113824,0.5509321270397288,0.2868659988000328,-0.8072201217933684,-0.5164615988410264,0.2984356326828045
1200,0.0007917189760498114,1.3090595417845022e-05,0.00044424113191703123,0.0,0.0002550463788440755,0.27198884712664645,0.9651439164621074,-0.2677164251899625,-0.972595595035193,-0.25476817472095276,-0.3348647557535017,-0.2916006266359451,-0.959499329727301,-0.07399251668630061,0.9955076410026104,-0.1089306324765514,0.12645762073245628,0.7005682109313756,-0.3027312014941037,-0.3904931646728865,-0.5162943820039043,0.13616806594946282,0.07239709441284817,0.5404205228699767,0.2361077045174859,-0.8238229654169829,-0.5180961344935642,0.3055881936573649
1225,0.0006335609738120181,1.7071282952780875e-05,0.0004447941106595609,0.0,0.0002259137866659843,0.2338843078659056,0.9730428976680815,-0.2866460207298674,-0.9480811347773973,-0.32706193369878767,-0.31804371753703903,-0.2547104384765089,-0.9677559871738202,-0.06519311950739712,1.0001,-0.053644054383582655,0.1198560853570586,0.6874709247972554,-0.29919466918638565,-0.38976082466995504,-0.5352539717027637,0.13681044502666478,0.07441112845758709,0.5371081560333998,0.20809316353509522,-0.8274962998027309,-0.5222669946788487,0.31143101755402836
1250,0.0005279269636173143,2.7703265576105302e-05,0.0004060263802984668,0.0,0.00020341262812881937,0.21876669187889808,0.9758984738385528,-0.2903821170686451,-0.934795898023086,-0.3566643059138043,-0.3127175969903867,-0.24583365719197067,-0.9693539929777721,-0.06543152012392286,1.0001,-0.024957790115251125,0.11877203648151217,0.681038350415795,-0.2964035901507059,-0.38795813395967244,-0.5458804743827016,0.1396571629796864,0.07447350287165559,0.5393604728587555,0.196427880383595,-0.8260040788010267,-0.5284983300612927,0.3171095679669941
1275,0.00041171004085993715,4.0622592508113894e-05,0.00031399067777825035,0.0,0.00016951369923250581,0.20399300386959957,0.9790890132484715,-0.2915825810820931,-0.9289181247548395,-0.37059370490053145,-0.3144426567008868,-0.24897939532293936,-0.968514254706711,-0.0723150224165514,1.0001,-0.00847192535947184,0.1232665448145639,0.6819272479818989,-0.2857614138053408,-0.3805639307630323,-0.5556536339943052,0.14496925523075108,0.07309526686913771,0.5456744152558651,0.1925496379419465,-0.8155201473270915,-0.5461577947332577,0.3282991654819378
